D.LMST.CLNT.000478:96,88 304,6756 5,566406 13,73437 3
D.LMST.STSP.001747:38,77 326,0756 5,626321 13,73437 2
D.LMST.RNDL.000956:120,94 329,7156 3,131104 13,73437 1
D.GUID.GDPR.000703:134,37 241,7256 5,879517 13,73437 4
D.GUID.GDPR.000703:321,88 149,7756 5,879517 13,73437 4
C.MNGL.LSMR.000060:18,55 313,5756 5,612793 13,73437 6
D.LMST.STSP.001746:161,8 457,5556 5,635986 13,73437 5
C.MNGL.LSMR.000060:174,74 391,2056 5,612793 13,73437 6
D.LMST.STSP.002571:720,1 81,97562 5,502625 13,73437 7
D.LMST.STSP.002570:561,35 2,345628 5,601196 13,73437 8
D.GUID.GDPR.001070:438,72 101,8256 5,5896 13,73437 9
D.LMRF.FRCC.000172:723,16 31,59563 11,34735 13,73437 10
TAV-01.G.TRSP.LNCT.000035.01/04:416,46 395,5256 191,8961 13,73437 TAV-01.G.TRSP.LNCT.000035.01/04
