C.MNGL.LSMR.000049:226,58 71,06563 5,566406 13,73437 3
D.GUID.SCTL.000369:453,64 42,91563 8,854065 13,73437 11
D.PTTI.SPPR.001800:428,14 171,3656 3,131104 13,73437 1
D.PTTI.SPPR.001824:491,59 209,5656 5,626321 13,73437 2
D.LMST.STSP.001674:559,03 239,5256 5,635986 13,73437 5
D.LMST.STSP.002099:542,26 327,1256 5,502625 13,73437 7
D.LMRF.STML.000160:457,64 255,3456 5,5896 13,73437 9
L.MGNL.MNGL.000021:421,71 278,5156 5,612793 13,73437 6
D.LMST.STSP.002527:586,87 395,7856 5,601196 13,73437 8
D.PTTI.SPPR.001850:352,22 145,8356 11,34735 13,73437 10
D.LAMI.LMPR.000803:633,78 353,2356 11,28937 13,73437 12
TAV-01.S.CHSC.GRCL.000022.01/02:147,2 195,0656 197,3349 13,73437 TAV-01.S.CHSC.GRCL.000022.01/02
D.PTTI.GUID.000278:528,51 282,3256 5,879517 13,73437 4
D.PTTI.GUID.000278:508,54 351,7456 5,879517 13,73437 4
D.PTTI.GUID.000278:545,63 372,0656 5,879517 13,73437 4
D.LMRF.FRCC.000223:432,32 265,7156 11,37634 13,73437 13
