D.LMST.STSP.001804:483,5 296,2756 5,601196 13,73437 8
C.GDLN.RLLN.000028:489,95 30,31563 5,566406 13,73437 3
C.GDLN.RLLN.000028:319,26 143,6356 5,566406 13,73437 3
C.CTPC.STND.000051:529,73 365,4356 11,34155 13,73437 14
D.LMST.STSP.001805:557,82 455,8056 5,5896 13,73437 9
D.PTTI.PTTC.001206:509,67 276,1156 5,612793 13,73437 6
D.PTTI.PTTC.001045:141,41 255,1356 3,131104 13,73437 1
D.LMST.STSP.001583:225,25 308,3656 5,626321 13,73437 2
D.PTTI.PTTC.000939:409,67 358,2956 5,502625 13,73437 7
D.LMST.STSP.001583:465,43 441,1456 5,626321 13,73437 2
C.RDTR.ALPH.000119:547,03 66,49563 8,854065 13,73437 11
C.GDLN.RLLN.000029:510,75 88,50562 11,34735 13,73437 10
D.ALBR.TRBN.000017:394,77 143,8256 5,635986 13,73437 5
C.GDLN.RLLN.000031:435,98 123,5956 5,879517 13,73437 4
C.GDLN.RLLN.000031:339,22 180,2056 5,879517 13,73437 4
D.LMRF.FRCC.000155:505,22 127,0756 11,37634 13,73437 13
C.GDLN.RLLN.000003:488,46 106,6056 11,28937 13,73437 12
D.PTTI.PTTC.001315:508,31 222,2456 11,44012 13,73437 15
D.PTTI.PTTC.001316:250,24 298,2156 11,37054 13,73437 16
D.PTTI.PTTC.001206:298,07 388,5656 5,612793 13,73437 6
D.PTTI.PTTC.001315:318,87 339,9856 11,44012 13,73437 15
D.LMRF.FRCC.000115:320,7 211,0156 11,37634 13,73437 17
D.PTTI.PTTC.001316:520,04 200,0156 11,37054 13,73437 16
D.LMRF.FRCC.000115:319,26 238,9356 11,37634 13,73437 17
D.LMRF.FRCC.000434:348,21 279,9756 11,39374 13,73437 18
