TAV-02.G.CHDT.TRSL.000001.01/02:492,05 370,8056 194,0298 13,73437 TAV-02.G.CHDT.TRSL.000001.01/02
D.PTTI.CHSR.000172:53,25 359,3956 5,635986 13,73437 5
D.LMST.STSP.001585:120,64 339,2056 5,879517 13,73437 4
D.PTTI.PTTC.000940:211,46 235,7556 5,566406 13,73437 3
D.TRVS.PRTB.000148:398,33 174,5956 5,626321 13,73437 2
D.PTTI.CHSR.000186:726,16 83,74563 5,612793 13,73437 6
D.LMST.STSP.001807:764,32 69,96562 11,34735 13,73437 10
D.LMST.STSP.001585:667,42 97,77563 5,879517 13,73437 4
D.PTTI.PTTC.000940:592,51 28,23563 5,566406 13,73437 3
D.LMRF.FRCC.000157:533,87 182,3056 5,601196 13,73437 8
D.LMST.STSP.001586:269,38 374,9356 3,131104 13,73437 1
D.LMST.STSP.001587:652,59 227,2356 5,502625 13,73437 7
D.LMRF.FRCC.000156:740,23 28,73563 5,5896 13,73437 9
