D.LAMI.LMPR.000762:289,18 67,41563 5,502625 13,73437 7
D.LAMI.LMPR.000764:412,76 85,20563 5,601196 13,73437 8
D.LAMI.LMPR.000763:527,1 9,155627 5,5896 13,73437 9
D.LAMI.LMST.000411:424,57 236,7856 3,131104 13,73437 1
D.PTTI.PTTC.000938:521,45 206,1656 5,566406 13,73437 3
D.LAMI.LMCH.000472:216,94 224,3256 5,626321 13,73437 2
S.CHSC.PGFL.000023:341,59 352,5356 5,879517 13,73437 4
D.LMRF.SPZR.000183:333,35 417,0856 5,635986 13,73437 5
C.MNGL.LSMS.000004:297,43 454,9856 5,612793 13,73437 6
S.CHSC.PGFL.000023:481,94 309,8656 5,879517 13,73437 4
D.LMRF.SPZR.000189:479,61 387,8656 11,34735 13,73437 10
C.MNGL.LSMS.000004:442,31 429,2756 5,612793 13,73437 6
