C.MNGL.LSMR.000039:219,09 51,32563 5,635986 13,73437 5
C.CLPN.CSMC.000050:380,57 280,8956 11,34155 13,73437 14
D.LMST.CLNT.000494:263,34 273,7456 3,131104 13,73437 1
D.LMST.BLDS.000449:123,91 288,9156 5,566406 13,73437 3
D.PTTI.PTTC.000937:292,26 377,5856 5,626321 13,73437 2
D.LMST.BCDS.000538:348,39 224,8656 11,37054 13,73437 16
C.RCCD.RSMC.000280:350,54 198,1456 11,37634 13,73437 17
D.LMST.RNDL.000912:392,71 178,7156 5,5896 13,73437 9
D.LMST.MRST.000526:408,63 177,8056 8,854065 13,73437 11
D.LMST.BLDS.000446:467,77 221,8156 11,34735 13,73437 10
C.CSCN.RBNL.000465:490,14 231,0756 5,601196 13,73437 8
D.PTTI.CHSR.000171:553,19 271,7456 5,879517 13,73437 4
L.ALBR.LNGT.000007:540,62 234,6156 5,612793 13,73437 6
D.ALBR.PRNI.000719:618,74 311,1256 5,502625 13,73437 7
C.CSCN.RBNL.000465:645,31 365,6756 5,601196 13,73437 8
D.LMST.RNDL.000912:660,83 371,9256 5,5896 13,73437 9
D.LMSC.CHFL.000036:716,22 281,5256 10,67667 13,73437 21
D.LMST.STSP.001582:475,48 344,7356 12,28861 13,73437 20
C.BCCL.IGUS.000057:453,74 331,1156 11,39374 13,73437 18
D.PTTI.PTTC.000936:334,19 298,9856 11,44012 13,73437 15
C.BCCL.IGUS.000057:314,51 256,8556 11,39374 13,73437 18
C.VITI.NBRK.000005:297,42 248,3956 11,39374 13,73437 19
C.TSND.TSMC.000001:414,87 254,2856 11,37634 13,73437 13
D.LMST.BLDS.000447:394,32 230,9856 11,28937 13,73437 12
D.PTTI.SPPR.002464:218,07 295,4756 12,23063 13,73437 22
