D.LAMI.CNPC.000067:307,04 30,17563 5,626321 13,73437 2
D.LAMI.LMPL.000013:740,1 124,6056 5,612793 13,73437 6
D.LAMI.LMCH.000128:762,99 137,0156 5,502625 13,73437 7
D.TRVS.SPRT.000460:660,77 270,2056 11,37634 13,73437 13
D.TRVS.SPRT.000460:643,99 341,9756 11,37634 13,73437 13
D.LAMI.LMCH.000424:487,06 292,7356 5,5896 13,73437 9
D.LAMI.LMPL.000015:466,31 279,7256 5,601196 13,73437 8
D.LAMI.LMCH.000127:390,21 333,8256 11,34735 13,73437 10
D.LAMI.LMPR.000806:545,64 213,1056 5,566406 13,73437 3
D.TRVS.SPRT.000439:160,19 119,0956 11,34155 13,73437 14
D.TRVS.SPRT.000439:140,56 192,7656 11,34155 13,73437 14
D.LAMI.CNPC.000068:139,8 234,7656 11,37634 13,73437 17
D.LMST.CNLT.000135:159,59 288,6856 11,44012 13,73437 15
D.LMST.CNLT.000026:191,38 366,7056 11,37054 13,73437 16
D.LMST.CNLT.000135:59,1 361,3756 11,44012 13,73437 15
D.LAMI.CNPC.000051:91,65 314,1256 11,39374 13,73437 18
D.PTTI.SPPR.000315:612,64 361,3056 11,28937 13,73437 12
D.PTTI.SPPR.000316:612,08 278,9056 8,854065 13,73437 11
D.LMST.CNLT.000026:100,68 406,8356 11,37054 13,73437 16
D.PTTI.SPPR.000315:88,34 197,2856 11,28937 13,73437 12
D.PTTI.SPPR.000316:88,12 112,8956 8,854065 13,73437 11
D.TRVS.SPRT.000465:293,47 209,2956 3,131104 13,73437 1
D.LAMI.LMPL.000016:447,91 171,5856 5,879517 13,73437 4
D.LAMI.LMCH.000006:447,93 156,1356 5,635986 13,73437 5
TAV-03.G.STRT.CHDT.000000.01/03:476,99 415,4756 193,2355 13,73437 TAV-03.G.STRT.CHDT.000000.01/03
